student_id,age,gender,year_in_school,major,monthly_income,financial_aid,tuition,housing,food,transportation,books_supplies,entertainment,personal_care,technology,health_wellness,miscellaneous,preferred_payment_method
57,23,Non-binary,4,Design,1089.76,1317.44,186.78,422.88,214.12,109.94,50.07,161.78,58.57,52.85,63.66,49.67,Mobile Payment App
58,22,Non-binary,2,Psychology,672.39,0.0,634.76,289.02,199.02,75.86,112.53,27.13,33.61,112.12,17.56,10.57,Mobile Payment App
59,21,Non-binary,3,Psychology,632.03,356.09,371.36,541.68,297.14,64.17,20.54,153.29,28.05,101.45,67.44,31.79,Credit/Debit Card
60,22,Non-binary,4,Psychology,1060.15,0.0,491.09,452.77,261.53,76.38,125.14,188.66,18.67,35.07,2.5,70.74,Mobile Payment App
61,22,Non-binary,2,Law,1028.07,736.7,456.22,212.9,335.49,46.96,78.97,28.47,80.98,20.35,45.36,53.64,Mobile Payment App
62,24,Female,4,Computer Science,808.6,872.51,814.06,444.71,305.1,79.64,141.47,63.15,65.22,32.59,44.47,18.89,Mobile Payment App
63,23,Male,3,Design,908.06,0.0,292.36,204.97,308.97,62.75,102.79,131.92,57.77,3.2,78.68,19.49,Mobile Payment App
64,20,Female,2,Design,466.68,1327.28,305.37,247.18,314.82,49.5,30.66,181.1,10.23,128.76,14.47,10.4,Credit/Debit Card
65,21,Male,1,Biology,728.15,0.0,328.45,295.7,127.05,20.5,113.84,109.96,69.65,71.44,77.8,41.06,Mobile Payment App
66,22,Female,2,Computer Science,562.97,0.0,831.56,446.51,161.44,82.55,14.36,199.73,77.78,63.94,10.8,56.99,Credit/Debit Card
67,23,Non-binary,3,Law,718.13,526.62,561.27,296.33,348.55,70.71,73.52,125.03,17.93,105.27,85.28,52.07,Credit/Debit Card
68,23,Male,4,Computer Science,741.74,0.0,770.56,329.43,277.0,47.82,53.75,58.43,86.29,103.02,47.43,7.3,Cash
69,21,Female,1,Psychology,621.72,412.0,867.47,402.76,260.9,58.13,132.31,188.81,43.83,137.38,5.14,23.01,Credit/Debit Card
70,20,Non-binary,2,Law,248.92,794.3,785.46,307.55,230.19,27.06,49.0,52.97,44.33,84.14,76.74,49.74,Mobile Payment App
71,21,Male,1,Law,1023.38,0.0,354.95,493.08,328.82,51.86,35.4,37.22,62.59,10.44,74.1,77.74,Mobile Payment App
72,21,Female,2,Law,471.67,294.44,268.06,290.24,167.58,113.85,93.47,177.84,22.45,113.17,4.98,6.53,Cash
73,24,Male,4,Design,485.78,1205.93,408.88,199.9,263.12,77.28,83.77,68.6,27.64,147.67,5.48,16.35,Credit/Debit Card
74,22,Female,3,Computer Science,712.59,0.0,523.04,343.79,114.88,70.92,42.22,116.16,63.44,53.13,39.71,59.36,Cash
75,20,Female,1,Mechanical Engineering,394.76,844.85,367.14,332.26,340.87,33.05,142.67,97.42,65.17,54.28,43.67,8.47,Cash
76,20,Male,1,Economics,518.41,1108.93,404.63,299.88,125.4,68.6,25.96,106.89,82.47,52.41,72.74,65.52,Credit/Debit Card
77,21,Female,2,Design,747.19,1324.39,206.51,578.08,249.55,63.72,88.92,120.1,64.49,132.31,64.3,78.92,Mobile Payment App
78,21,Male,3,Mechanical Engineering,932.55,248.19,481.66,286.27,154.16,20.9,81.03,68.98,46.15,8.53,83.17,6.14,Mobile Payment App
79,23,Non-binary,4,Computer Science,171.74,926.68,487.3,514.42,256.0,48.76,76.59,38.66,14.95,15.53,89.91,27.48,Mobile Payment App
80,20,Female,2,Computer Science,385.78,0.0,893.24,385.83,244.65,53.21,138.51,83.61,71.96,101.83,5.24,50.47,Cash
81,21,Non-binary,1,Computer Science,571.76,912.5,873.31,421.22,120.6,23.56,102.91,184.18,34.82,98.41,66.21,10.32,Cash
82,24,Male,4,Psychology,488.02,1117.67,245.85,466.27,335.72,119.7,137.74,27.76,63.64,76.27,1.82,24.71,Cash
83,20,Non-binary,2,Design,777.66,0.0,225.86,496.89,305.48,107.79,15.28,73.99,71.3,19.66,37.67,12.98,Mobile Payment App
84,22,Male,2,Psychology,649.98,245.24,423.22,473.81,341.79,79.11,115.33,158.92,28.72,35.88,96.56,62.75,Mobile Payment App
85,23,Male,4,Psychology,696.51,505.49,874.7,517.6,296.34,29.53,45.0,131.82,79.93,83.18,10.26,67.67,Credit/Debit Card
86,21,Male,2,Psychology,271.08,348.64,260.51,346.86,335.53,38.31,73.16,76.42,12.13,7.99,50.2,18.86,Credit/Debit Card
87,20,Male,1,Design,1031.49,747.29,259.54,167.24,327.7,64.61,126.36,154.18,47.53,92.3,90.59,1.52,Credit/Debit Card
88,22,Male,4,Law,472.9,1098.29,375.86,171.49,193.35,98.36,74.0,31.06,82.41,89.51,1.64,41.23,Credit/Debit Card
89,22,Non-binary,3,Biology,855.22,483.31,648.28,188.53,343.16,22.11,83.65,106.39,89.07,83.12,39.05,37.61,Cash
90,23,Non-binary,3,Biology,652.02,0.0,200.67,258.51,257.42,25.88,91.47,153.77,20.67,52.84,33.85,51.42,Mobile Payment App
91,24,Non-binary,4,Economics,698.88,888.38,493.26,282.05,91.83,35.94,15.87,187.34,51.23,148.37,54.3,20.27,Cash
92,21,Non-binary,3,Psychology,757.86,1274.75,354.91,509.7,197.98,57.0,71.56,191.73,37.12,28.02,69.21,29.39,Credit/Debit Card
93,22,Female,4,Mechanical Engineering,50,0.0,390.91,186.03,258.45,47.18,94.37,90.96,65.18,52.73,4.24,69.6,Cash
94,23,Male,3,Economics,953.01,1414.99,206.28,436.88,178.09,99.12,105.12,191.03,21.42,91.14,78.13,2.78,Mobile Payment App
95,22,Male,3,Biology,438.97,430.69,487.44,316.93,199.86,23.07,29.28,79.72,35.15,41.8,96.05,2.07,Mobile Payment App
96,24,Female,4,Computer Science,841.17,0.0,345.22,350.82,349.02,44.99,138.31,103.33,19.81,127.92,45.2,71.89,Mobile Payment App
97,23,Female,3,Computer Science,603.67,458.07,374.97,220.88,271.58,88.52,34.37,78.68,27.94,147.77,79.21,18.94,Cash
98,22,Female,3,Law,715.98,1431.85,247.33,547.91,97.75,56.81,110.37,100.95,42.86,61.42,57.49,10.03,Credit/Debit Card
99,23,Non-binary,4,Economics,564.03,1334.53,629.85,231.88,340.89,60.42,137.5,20.53,19.93,22.95,16.47,25.81,Cash
100,21,Non-binary,3,Psychology,466.98,0.0,867.26,273.5,248.76,79.51,23.08,131.79,57.34,87.1,17.12,49.96,Mobile Payment App
101,19,Non-binary,1,Biology,1117.64,1236.85,638.35,495.13,192.48,82.09,79.73,129.16,33.17,143.5,48.29,64.38,Cash
102,22,Female,4,Mechanical Engineering,911.78,659.17,479.7,367.91,135.09,78.7,53.76,146.49,68.74,129.12,97.54,10.46,Mobile Payment App
103,20,Male,1,Biology,655.84,269.75,222.61,280.6,183.72,79.61,44.76,174.41,22.78,49.12,57.77,25.02,Mobile Payment App
104,23,Female,4,Mechanical Engineering,762.33,0.0,217.54,326.96,203.45,40.28,91.67,19.25,32.51,89.63,84.28,53.8,Credit/Debit Card
105,20,Non-binary,1,Mechanical Engineering,764.9,0.0,424.45,330.26,233.98,35.44,87.45,23.97,50.34,114.66,27.97,79.13,Credit/Debit Card
106,20,Non-binary,2,Biology,778.58,284.78,890.09,401.02,178.71,30.15,94.34,86.26,13.22,5.84,71.36,64.32,Credit/Debit Card
107,21,Female,2,Mechanical Engineering,825.04,358.87,704.49,284.66,170.82,101.97,84.53,144.66,33.98,122.36,36.84,53.9,Cash
108,21,Non-binary,1,Economics,569.47,271.86,641.69,587.43,236.19,38.89,17.19,101.29,51.94,108.18,77.46,30.42,Credit/Debit Card
109,19,Female,1,Mechanical Engineering,839.54,0.0,302.92,375.82,245.1,64.52,128.77,148.21,66.46,77.8,56.09,79.85,Cash
110,21,Male,3,Psychology,672.66,349.45,406.75,309.43,288.44,90.7,100.06,141.73,58.81,28.84,24.65,44.65,Cash
111,22,Male,2,Psychology,596.39,0.0,850.86,474.75,157.7,75.22,86.05,180.19,41.56,51.77,77.31,11.72,Mobile Payment App
112,20,Non-binary,1,Economics,465.51,318.72,710.5,246.29,303.55,43.47,88.68,61.61,18.74,111.13,23.93,4.06,Mobile Payment App
113,20,Female,2,Psychology,809.23,252.07,728.07,152.33,228.6,112.56,66.97,187.66,80.27,71.62,19.95,77.11,Mobile Payment App
114,19,Female,1,Economics,765.99,823.72,551.36,475.4,332.9,110.89,34.51,177.63,24.06,137.95,99.72,31.76,Mobile Payment App
115,21,Non-binary,3,Biology,934.54,0.0,401.28,354.46,253.15,70.05,134.5,35.5,50.34,40.93,80.88,26.45,Mobile Payment App
116,23,Male,3,Economics,666.59,0.0,402.83,282.76,262.09,35.28,95.53,131.36,42.44,64.16,32.79,32.07,Credit/Debit Card
117,23,Female,4,Law,673.69,268.26,715.32,579.32,161.53,90.9,11.6,134.2,65.42,9.32,11.82,24.54,Mobile Payment App
118,23,Non-binary,3,Design,639.89,0.0,855.48,315.39,139.63,115.52,76.95,96.45,89.11,56.04,70.19,73.02,Mobile Payment App
119,20,Non-binary,2,Biology,524.49,999.3,485.06,466.69,101.09,74.24,18.65,114.05,50.44,85.91,14.99,26.25,Credit/Debit Card
120,22,Female,2,Design,381.79,497.77,824.17,350.47,95.02,28.85,68.16,117.14,54.7,100.92,30.82,1.74,Credit/Debit Card
121,22,Female,2,Psychology,857.08,660.4,895.59,570.56,98.64,113.05,14.44,87.68,71.52,114.87,97.83,51.67,Cash
122,23,Male,4,Psychology,752.3,249.63,873.11,543.55,115.91,105.33,26.61,198.64,41.44,19.1,97.87,66.79,Cash
123,24,Male,4,Mechanical Engineering,534.64,281.54,356.74,571.83,275.76,26.85,123.33,89.66,71.28,132.56,1.56,16.49,Credit/Debit Card
124,24,Non-binary,4,Mechanical Engineering,759.32,865.05,186.51,483.24,188.61,39.61,40.42,174.11,14.52,75.58,28.93,65.26,Cash
125,21,Non-binary,3,Law,610.91,806.8,460.17,273.82,230.31,77.13,112.93,43.28,64.3,83.38,4.69,27.55,Cash
126,23,Female,3,Mechanical Engineering,765.93,288.99,374.92,232.75,225.24,40.3,41.55,172.93,21.55,69.45,5.76,33.01,Mobile Payment App
127,21,Non-binary,2,Law,656.65,665.3,487.34,316.98,224.62,102.09,17.22,81.66,58.4,5.93,7.28,64.37,Mobile Payment App
128,21,Male,2,Biology,798.19,0.0,399.72,580.66,84.14,113.4,144.69,32.29,89.97,71.84,24.26,48.35,Credit/Debit Card
129,22,Male,3,Law,451.14,0.0,419.73,547.27,205.82,99.3,111.14,154.71,35.62,30.47,31.29,3.66,Credit/Debit Card
130,20,Female,1,Law,835.19,586.95,584.36,337.91,121.15,49.64,63.18,168.34,49.94,98.19,68.48,20.59,Mobile Payment App
131,23,Male,4,Biology,842.48,0.0,559.91,232.82,320.13,118.98,144.01,109.55,77.13,11.15,81.8,3.88,Credit/Debit Card
132,20,Male,2,Mechanical Engineering,991.09,688.33,314.04,355.2,96.32,81.96,140.75,183.42,62.74,2.36,53.22,32.91,Mobile Payment App
133,23,Male,3,Psychology,690.5,1294.97,472.93,572.87,128.4,111.4,83.41,55.78,59.58,37.86,35.44,63.59,Cash
134,24,Male,4,Law,644.23,0.0,319.39,457.82,308.92,83.64,130.15,154.32,17.48,56.89,55.27,4.49,Credit/Debit Card
135,20,Female,1,Mechanical Engineering,828.49,0.0,793.47,192.91,222.6,19.47,39.6,174.94,81.0,71.33,4.66,5.95,Mobile Payment App
136,19,Non-binary,1,Psychology,388.53,1110.95,871.1,414.17,283.11,89.83,65.76,24.62,23.0,36.07,83.47,31.13,Cash
137,22,Female,2,Economics,608.09,0.0,477.82,527.4,171.96,95.75,143.68,85.37,71.88,4.44,27.33,79.41,Cash
138,23,Female,4,Psychology,394.08,0.0,645.5,188.56,247.03,98.8,109.84,25.59,22.34,106.75,63.39,59.17,Credit/Debit Card
139,19,Female,1,Computer Science,873.48,1089.49,249.38,234.33,201.19,73.25,67.13,14.99,38.31,13.96,59.8,25.95,Cash
140,23,Female,4,Psychology,566.29,1000.66,825.85,557.34,344.11,75.06,33.74,82.34,21.11,45.17,49.31,5.06,Cash
141,22,Female,3,Design,692.45,0.0,521.85,427.5,203.62,29.23,10.95,85.18,77.33,56.98,86.22,35.22,Mobile Payment App
142,21,Female,2,Design,446.11,0.0,671.47,365.55,127.96,56.82,54.68,149.63,60.63,145.16,78.2,26.07,Cash
143,21,Non-binary,3,Biology,783.71,435.99,725.71,162.11,276.35,114.01,39.35,161.56,76.5,10.37,84.78,63.6,Credit/Debit Card
144,21,Female,3,Law,589.19,0.0,686.43,505.08,99.97,119.02,77.09,86.15,50.53,138.06,69.17,43.49,Mobile Payment App
145,19,Non-binary,1,Mechanical Engineering,688.27,0.0,609.51,403.45,254.16,82.91,145.35,73.0,73.7,15.89,9.86,17.76,Mobile Payment App
146,21,Male,2,Psychology,330.18,0.0,729.26,414.87,215.13,51.22,13.44,29.86,43.28,144.26,11.61,75.25,Cash
147,22,Non-binary,3,Economics,707.04,0.0,478.62,463.54,166.11,46.53,123.43,31.87,77.93,97.2,67.71,13.15,Mobile Payment App
148,22,Female,2,Biology,389.19,0.0,469.78,357.92,295.39,81.12,36.09,134.89,41.65,110.61,88.31,35.97,Credit/Debit Card
149,20,Non-binary,2,Biology,589.21,990.03,226.31,542.39,130.48,49.23,74.06,59.85,79.01,79.16,63.91,47.76,Mobile Payment App
150,20,Non-binary,1,Economics,987.74,0.0,613.02,516.18,270.62,46.23,96.03,26.1,20.72,17.68,30.54,14.64,Mobile Payment App
151,23,Female,4,Computer Science,413.49,262.29,626.63,462.04,254.22,119.99,87.69,103.03,21.22,47.19,45.1,4.29,Cash
152,20,Male,2,Psychology,486.15,1144.29,571.19,443.88,190.47,66.63,109.42,94.33,23.38,84.81,79.59,17.64,Credit/Debit Card
153,21,Female,3,Computer Science,704.54,1327.64,562.29,200.94,110.84,96.39,125.26,79.7,75.81,6.24,71.9,43.71,Mobile Payment App
154,21,Non-binary,2,Mechanical Engineering,371.17,1439.67,487.3,306.86,300.52,61.1,149.15,157.37,28.96,121.61,58.79,28.05,Mobile Payment App
155,22,Non-binary,4,Design,362.57,1059.33,194.52,307.87,155.89,71.57,55.31,143.77,33.15,40.1,85.8,78.84,Credit/Debit Card
156,21,Female,2,Law,392.88,0.0,800.29,207.1,313.84,41.22,109.6,167.41,70.92,101.44,48.95,46.19,Cash
157,23,Female,4,Law,998.18,1004.69,536.71,275.2,332.81,53.75,143.04,72.18,10.2,116.12,73.27,58.47,Mobile Payment App
158,21,Non-binary,3,Design,828.83,1216.52,313.37,343.34,137.2,43.2,125.97,74.17,56.23,84.92,48.53,27.5,Credit/Debit Card
159,19,Female,1,Computer Science,356.05,0.0,793.24,348.58,80.18,115.59,38.32,140.83,20.55,97.5,15.9,74.62,Mobile Payment App
160,22,Male,3,Mechanical Engineering,351.66,0.0,827.85,224.49,187.01,47.08,107.92,54.49,62.44,105.55,0.11,38.14,Credit/Debit Card
161,22,Male,4,Law,851.6,0.0,466.74,209.48,99.12,55.22,112.31,29.46,35.07,132.15,13.71,61.88,Mobile Payment App
162,20,Male,2,Design,660.22,512.66,607.74,223.85,174.82,37.37,114.76,184.78,59.29,66.36,21.72,71.73,Credit/Debit Card
163,23,Non-binary,4,Mechanical Engineering,836.11,0.0,633.47,261.68,242.27,90.72,49.89,188.84,12.15,127.06,87.58,16.44,Credit/Debit Card
164,23,Male,4,Biology,606.24,657.46,823.43,579.6,213.62,26.84,79.94,122.85,52.26,146.65,98.69,74.71,Mobile Payment App
165,23,Female,4,Biology,520.21,354.53,727.78,157.51,98.23,42.53,15.58,21.49,73.14,75.99,62.86,40.08,Mobile Payment App
166,22,Non-binary,4,Law,611.09,811.7,612.04,274.86,163.67,68.69,38.45,163.53,52.91,58.61,63.43,66.76,Credit/Debit Card
167,23,Male,3,Biology,146.64,0.0,214.66,345.52,202.41,78.93,53.3,150.92,69.25,17.92,70.79,56.12,Cash
168,21,Male,3,Biology,858.55,0.0,735.84,270.94,319.33,96.0,14.11,163.35,31.76,9.58,71.23,46.13,Cash
169,21,Male,3,Economics,365.4,0.0,730.0,552.42,262.01,27.11,113.71,10.49,78.7,1.84,4.6,29.12,Credit/Debit Card
170,22,Female,4,Computer Science,650.7,0.0,836.89,293.97,303.02,75.01,26.72,137.93,14.21,33.48,51.58,3.67,Cash
171,22,Male,3,Economics,519.65,0.0,368.7,503.03,279.69,40.47,61.56,194.65,89.82,116.38,73.25,43.72,Credit/Debit Card
172,22,Female,4,Biology,896.93,0.0,626.96,462.06,82.59,50.18,116.25,81.49,69.05,46.13,20.52,78.65,Credit/Debit Card
173,22,Female,2,Law,637.72,0.0,539.82,465.38,180.57,117.33,21.89,28.16,20.68,122.99,7.48,45.43,Credit/Debit Card
174,21,Male,2,Economics,714.77,0.0,844.53,326.83,304.61,49.26,73.39,54.39,85.48,20.42,77.01,8.72,Cash
175,23,Male,4,Law,423.09,1059.67,381.23,269.25,112.38,31.55,106.05,167.01,65.75,6.05,83.59,26.22,Credit/Debit Card
176,22,Male,3,Computer Science,801.08,409.79,374.13,519.04,126.94,114.97,129.64,115.63,54.01,14.21,10.19,63.5,Credit/Debit Card
177,20,Female,2,Computer Science,721.26,841.7,633.51,412.05,149.88,100.34,13.05,22.25,82.2,66.51,12.88,72.41,Credit/Debit Card
178,22,Non-binary,4,Mechanical Engineering,860.86,0.0,474.87,475.99,213.95,55.19,69.73,77.25,82.66,41.25,44.6,11.89,Mobile Payment App
179,22,Non-binary,2,Psychology,586.6,495.81,215.79,322.36,193.19,82.48,121.61,57.34,89.53,81.55,1.95,30.6,Cash
180,23,Male,4,Economics,867.68,500.48,441.29,230.92,166.1,38.0,135.41,157.92,14.69,148.73,52.94,61.35,Credit/Debit Card
181,22,Non-binary,2,Law,665.1,1400.28,191.93,598.38,139.24,103.88,121.63,77.41,77.14,126.78,17.61,47.4,Cash
182,21,Non-binary,1,Economics,921.33,752.54,575.74,213.95,336.06,102.85,123.46,194.37,53.37,26.33,3.8,4.49,Credit/Debit Card
183,22,Male,4,Psychology,500.84,1022.63,687.7,563.45,307.96,48.98,13.07,121.46,83.38,116.15,84.65,68.85,Mobile Payment App
184,24,Non-binary,4,Design,914.45,0.0,391.95,589.14,277.74,60.87,99.5,102.57,35.38,106.08,56.2,71.17,Cash
185,22,Non-binary,2,Economics,534.17,0.0,370.89,229.97,80.49,88.71,90.2,171.64,71.67,85.12,18.21,25.46,Mobile Payment App
186,20,Male,1,Economics,577.56,0.0,208.35,306.06,166.27,81.8,144.83,166.12,63.6,109.39,33.57,0.91,Mobile Payment App
187,20,Non-binary,1,Economics,645.6,0.0,478.67,338.84,124.91,58.47,133.45,76.73,40.03,124.32,78.87,46.24,Credit/Debit Card
188,22,Non-binary,4,Mechanical Engineering,755.11,1365.97,371.18,293.42,336.95,22.79,33.81,81.34,68.56,82.06,89.81,7.45,Cash
189,20,Non-binary,1,Mechanical Engineering,773.57,258.85,225.94,242.5,131.3,88.21,111.09,148.7,31.22,42.23,23.75,3.97,Cash
190,20,Female,2,Biology,603.26,0.0,215.72,520.75,248.77,65.43,23.58,49.32,61.06,146.56,47.36,9.24,Cash
191,21,Female,3,Design,513.12,0.0,427.05,350.6,151.09,63.83,41.67,61.03,14.93,112.84,66.75,6.86,Mobile Payment App
192,24,Non-binary,4,Computer Science,480.53,0.0,780.6,518.28,193.03,71.23,131.37,100.22,80.53,71.44,7.9,72.22,Mobile Payment App
193,20,Male,2,Computer Science,878.11,0.0,756.35,206.78,194.31,118.77,70.96,199.48,60.18,125.12,25.79,72.86,Cash
194,24,Male,4,Computer Science,574.7,0.0,539.77,562.72,83.34,88.54,92.26,158.52,19.0,22.45,56.66,46.61,Mobile Payment App
